round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,26,26,25
2,12,12,12,12,13,12,12,12,11,12
3,18,18,18,18,18,18,18,18,18,17
4,14,14,14,14,14,15,13,14,14,14
5,14,13,13,13,13,13,13,13,13,14
6,25,26,25,25,25,25,26,25,25,25
7,12,12,12,12,12,12,12,12,12,12
8,18,18,18,18,18,18,18,18,18,18
9,15,15,15,14,15,15,15,15,15,15
10,13,13,13,13,13,12,13,13,13,13
11,13,13,13,13,13,13,13,13,13,13
12,25,25,25,26,25,25,25,26,25,25
13,12,12,13,12,12,12,12,12,12,12
14,18,18,18,18,18,18,18,18,18,17
15,14,14,14,14,14,14,14,14,14,14
16,13,13,13,13,13,13,13,13,13,13
17,25,25,25,25,25,25,25,25,25,25
18,12,12,12,12,12,11,12,12,12,11
19,18,18,18,18,18,18,18,18,18,18
20,14,14,14,14,14,15,14,14,15,14
