round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,13,12,12,12,12,12,12
3,5,5,5,5,5,4,5,5,5,5
4,8,8,9,8,8,8,7,8,8,8
5,6,6,6,6,6,6,6,6,6,6
6,7,7,7,7,6,7,7,7,7,6
7,7,7,7,7,7,7,7,7,7,7
8,25,26,25,25,25,25,25,25,24,25
9,12,12,13,13,12,12,12,12,12,12
10,5,5,5,5,5,5,5,5,5,5
11,8,9,8,8,8,8,8,8,8,8
12,6,6,6,5,6,6,6,5,6,6
13,6,6,6,6,6,7,6,6,6,6
14,7,7,7,8,7,7,7,7,7,7
15,25,25,25,25,25,25,25,25,24,25
16,11,11,11,11,10,11,11,11,11,11
17,4,4,4,4,4,4,4,4,4,4
18,7,6,7,7,7,6,7,7,7,7
19,8,8,8,8,8,8,8,8,8,8
20,7,7,7,7,8,7,7,7,8,7
