round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,26,25,25,24,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,5,5,5,5,5,5,5
4,2,2,2,2,2,2,2,2,2,2
5,3,3,3,3,3,3,3,3,3,2
6,3,3,3,3,3,3,3,3,3,3
7,4,4,4,4,4,4,4,4,4,4
8,24,25,25,25,25,25,25,25,25,24
9,11,11,11,12,11,11,10,11,11,11
10,5,5,5,5,5,5,5,5,5,5
11,2,2,2,3,2,2,2,2,2,2
12,3,3,3,3,3,3,3,3,3,3
13,4,4,4,4,4,4,4,4,4,4
14,25,25,25,25,25,25,25,25,25,25
15,12,12,12,12,12,12,13,12,11,12
16,5,5,5,5,5,5,5,5,5,4
17,1,1,1,1,1,1,1,1,1,2
18,2,2,2,2,2,2,2,2,2,2
19,4,3,3,3,4,3,3,3,3,3
20,25,25,25,25,25,25,25,25,25,25
