round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,26,25,25,25,25,25,25
2,11,12,12,12,12,12,12,11,12,12
3,5,5,5,5,5,5,5,5,5,5
4,2,2,2,2,3,2,2,1,2,2
5,3,4,3,3,2,3,3,3,3,3
6,4,4,4,4,4,4,4,4,4,4
7,24,25,25,24,25,25,25,25,25,25
8,11,11,11,11,10,11,11,11,11,10
9,4,5,4,4,4,4,4,4,5,4
10,7,7,8,7,7,8,7,7,7,7
11,5,4,5,5,4,5,5,5,5,5
12,25,25,25,25,25,25,24,25,25,25
13,11,11,10,11,11,11,11,11,11,11
14,3,4,4,4,4,4,4,4,4,3
15,6,6,6,6,6,6,6,6,6,6
16,4,4,4,4,4,4,4,4,4,4
17,5,5,5,5,5,5,5,5,5,5
18,25,25,25,25,25,25,25,25,25,24
19,11,11,11,11,10,11,11,11,11,11
20,4,4,5,4,4,4,4,4,4,4
