round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,25,25,25,25,25,25,25,25,25
2,12,12,12,11,12,13,12,12,12,12
3,18,18,18,18,18,18,18,18,18,18
4,21,21,21,21,21,21,21,21,21,21
5,23,23,23,23,23,23,23,23,23,23
6,22,22,22,22,22,21,22,22,22,22
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,12,12,12,12
9,18,18,18,18,18,18,18,18,18,18
10,21,21,21,21,21,21,21,21,21,21
11,23,23,23,23,23,23,23,23,22,23
12,25,25,25,25,25,25,25,25,25,25
13,12,13,12,13,12,12,12,12,12,12
14,17,18,18,18,18,18,18,18,19,18
15,21,21,21,21,21,22,21,21,21,21
16,23,23,23,23,23,23,23,23,23,23
17,22,22,22,22,22,22,22,22,21,22
18,26,25,25,25,25,26,25,25,25,25
19,12,12,12,12,12,12,12,12,12,12
20,18,18,18,18,18,18,18,18,18,18
