round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,24,25,25,25,25,25
2,11,11,12,12,11,11,11,11,11,11
3,16,17,17,17,17,17,17,17,17,16
4,19,20,20,20,20,20,20,20,20,20
5,21,21,22,21,21,21,21,21,21,21
6,22,22,22,22,22,22,22,22,22,22
7,23,23,23,23,23,23,22,23,23,23
8,25,24,25,25,25,25,25,25,25,26
9,12,12,12,12,12,12,12,12,12,12
10,18,18,18,18,18,19,18,18,18,18
11,21,20,21,21,21,21,21,21,21,21
12,22,22,22,22,22,22,22,22,22,22
13,23,23,23,23,23,23,23,23,23,23
14,25,25,25,25,25,25,25,26,25,26
15,12,12,12,12,11,12,12,12,12,11
16,18,18,18,18,18,17,18,18,18,18
17,20,22,21,21,21,21,21,21,21,21
18,23,23,23,23,23,23,23,23,23,23
19,22,22,22,22,22,22,22,22,22,22
20,25,25,25,25,25,25,25,25,25,26
