round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,24,25,25,25
2,10,11,11,11,11,10,11,11,11,11
3,4,4,4,4,4,4,4,4,4,4
4,7,7,7,7,7,7,7,7,7,7
5,5,5,5,5,5,5,4,5,5,5
6,25,25,25,25,25,25,25,25,25,25
7,12,12,13,12,12,12,12,12,12,12
8,5,6,4,5,5,5,5,5,5,5
9,2,2,2,2,2,2,2,2,2,2
10,3,3,3,3,3,3,3,3,2,3
11,3,3,3,3,3,3,2,3,2,3
12,4,3,4,3,3,3,3,3,3,3
13,4,4,4,4,4,4,3,4,4,5
14,25,25,25,25,25,25,25,24,25,25
15,11,10,11,10,11,11,11,11,11,11
16,4,4,4,4,5,3,4,4,4,4
17,7,7,7,7,7,7,8,7,6,7
18,5,5,5,5,5,5,5,5,5,5
19,24,25,25,25,25,25,24,25,25,25
20,11,11,11,11,11,11,12,11,12,11
