round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,26,24,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,5,5,5,5,5,5,5
4,2,2,2,3,2,2,2,2,2,2
5,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1
7,25,25,25,25,25,25,24,25,25,25
8,11,10,11,11,12,11,11,11,11,11
9,5,5,5,5,5,5,6,5,4,5
10,2,2,2,2,2,2,2,2,2,1
11,0,0,0,0,0,0,0,0,0,0
12,25,25,25,24,25,25,25,25,25,25
13,11,12,11,11,11,11,11,11,11,11
14,5,5,5,5,5,5,5,5,5,5
15,2,2,2,3,2,2,2,2,2,2
16,0,0,0,0,0,1,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1
18,25,24,25,25,25,25,25,25,25,25
19,11,11,11,11,11,12,11,10,11,11
20,5,5,5,5,5,5,5,5,5,4
