round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,18,18,18,18,17,18,17,18,18,18
4,21,21,21,21,21,21,21,21,21,21
5,23,23,23,23,23,23,23,23,23,23
6,25,24,24,24,24,24,24,24,24,24
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,12,12,12,12
9,19,18,18,18,18,18,18,18,18,17
10,22,21,21,21,21,21,21,21,21,21
11,23,23,23,23,23,23,22,23,23,23
12,23,22,23,23,22,23,23,23,23,23
13,23,22,23,23,23,23,23,23,23,23
14,23,23,23,23,23,23,23,22,23,23
15,23,25,23,23,23,23,23,23,23,23
16,24,24,24,24,24,24,24,24,24,24
17,25,25,25,25,25,25,25,25,25,25
18,12,12,12,12,12,12,12,12,12,12
19,18,18,18,19,18,18,18,18,18,18
20,21,21,21,22,21,20,21,21,21,21
