round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,24,26,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,18,18,18,18,18,18,18,18,17,18
4,13,14,14,14,14,14,14,14,14,15
5,15,15,15,15,15,15,15,15,15,15
6,16,16,16,16,16,16,16,16,16,16
7,25,25,25,25,25,25,25,25,25,25
8,12,12,11,13,12,12,12,12,12,12
9,18,18,18,18,18,18,18,18,19,18
10,15,15,15,15,14,15,15,15,16,15
11,16,17,16,16,16,16,16,17,16,16
12,17,17,17,17,17,17,17,17,17,17
13,25,25,25,25,25,25,25,25,25,25
14,12,12,12,12,12,12,12,12,12,12
15,18,18,17,18,18,18,18,18,18,18
16,14,14,14,14,14,14,14,14,13,14
17,15,15,14,15,15,15,15,15,16,15
18,16,16,16,16,16,16,16,16,16,16
19,25,25,24,25,25,25,25,25,25,25
20,11,11,11,11,11,11,11,11,11,11
